organization_code,device_code,device_type_code,device_manufacturer,device_model_name,device_model_number,device_serial_number,device_description,device_start_date,device_end_date,device_alias,device_json,device_comments,child_device_codes
SWFSC,HYDROPHONE-856053,HYDROPHONE_INDIVIDUAL,,,,856053,,,,,,,
SWFSC,HYDROPHONE-856061,HYDROPHONE_INDIVIDUAL,,,,856061,,,,,,,
SWFSC,HYDROPHONE-856060,HYDROPHONE_INDIVIDUAL,,,,856060,,,,,,,
SWFSC,HYDROPHONE-856051,HYDROPHONE_INDIVIDUAL,,,,856051,,,,,,,
SWFSC,HYDROPHONE-856052,HYDROPHONE_INDIVIDUAL,,,,856052,,,,,,,
SWFSC,HYDROPHONE-1678299174,HYDROPHONE_INDIVIDUAL,,,,1678299174,,,,,,,
SWFSC,HYDROPHONE-201883689,HYDROPHONE_INDIVIDUAL,,,,201883689,,,,,,,
SWFSC,HYDROPHONE-856019,HYDROPHONE_INDIVIDUAL,,,,856019,,,,,,,
SWFSC,HYDROPHONE-856026,HYDROPHONE_INDIVIDUAL,,,,856026,,,,,,,
SWFSC,HYDROPHONE-856027,HYDROPHONE_INDIVIDUAL,,,,856027,,,,,,,
SWFSC,HYDROPHONE-856028,HYDROPHONE_INDIVIDUAL,,,,856028,,,,,,,
SWFSC,HYDROPHONE-856041,HYDROPHONE_INDIVIDUAL,,,,856041,,,,,,,
SWFSC,HYDROPHONE-856044,HYDROPHONE_INDIVIDUAL,,,,856044,,,,,,,
SWFSC,HYDROPHONE-856045,HYDROPHONE_INDIVIDUAL,,,,856045,,,,,,,
SWFSC,HYDROPHONE-856046,HYDROPHONE_INDIVIDUAL,,,,856046,,,,,,,
SWFSC,HYDROPHONE-856047,HYDROPHONE_INDIVIDUAL,,,,856047,,,,,,,
SWFSC,HYDROPHONE-856048,HYDROPHONE_INDIVIDUAL,,,,856048,,,,,,,
SWFSC,HYDROPHONE-856049,HYDROPHONE_INDIVIDUAL,,,,856049,,,,,,,
SWFSC,HYDROPHONE-856050,HYDROPHONE_INDIVIDUAL,,,,856050,,,,,,,
SWFSC,HYDROPHONE-856054,HYDROPHONE_INDIVIDUAL,,,,856054,,,,,,,
SWFSC,HYDROPHONE-856055,HYDROPHONE_INDIVIDUAL,,,,856055,,,,,,,
SWFSC,HYDROPHONE-856073,HYDROPHONE_INDIVIDUAL,,,,856073,,,,,,,
SWFSC,HYDROPHONE-856095,HYDROPHONE_INDIVIDUAL,,,,856095,,,,,,,
SWFSC,HYDROPHONE-856096,HYDROPHONE_INDIVIDUAL,,,,856096,,,,,,,
SWFSC,HYDROPHONE-856097,HYDROPHONE_INDIVIDUAL,,,,856097,,,,,,,
SWFSC,HYDROPHONE-856116,HYDROPHONE_INDIVIDUAL,,,,856116,,,,,,,
SWFSC,HYDROPHONE-856117,HYDROPHONE_INDIVIDUAL,,,,856117,,,,,,,
SWFSC,HYDROPHONE-856122,HYDROPHONE_INDIVIDUAL,,,,856122,,,,,,,
SWFSC,HYDROPHONE-856135,HYDROPHONE_INDIVIDUAL,,,,856135,,,,,,,
SWFSC,HYDROPHONE-856136,HYDROPHONE_INDIVIDUAL,,,,856136,,,,,,,
SWFSC,HYDROPHONE-856137,HYDROPHONE_INDIVIDUAL,,,,856137,,,,,,,
SWFSC,HYDROPHONE-856138,HYDROPHONE_INDIVIDUAL,,,,856138,,,,,,,
SWFSC,HYDROPHONE-856140,HYDROPHONE_INDIVIDUAL,,,,856140,,,,,,,
SWFSC,HYDROPHONE-856154,HYDROPHONE_INDIVIDUAL,,,,856154,,,,,,,
SWFSC,HYDROPHONE-856155,HYDROPHONE_INDIVIDUAL,,,,856155,,,,,,,
SWFSC,HYDROPHONE-856156,HYDROPHONE_INDIVIDUAL,,,,856156,,,,,,,
SWFSC,HYDROPHONE-856157,HYDROPHONE_INDIVIDUAL,,,,856157,,,,,,,
SWFSC,HYDROPHONE-856158,HYDROPHONE_INDIVIDUAL,,,,856158,,,,,,,
SWFSC,HYDROPHONE-856159,HYDROPHONE_INDIVIDUAL,,,,856159,,,,,,,
SWFSC,HYDROPHONE-856161,HYDROPHONE_INDIVIDUAL,,,,856161,,,,,,,
SWFSC,HYDROPHONE-856162,HYDROPHONE_INDIVIDUAL,,,,856162,,,,,,,
SWFSC,HYDROPHONE-856163,HYDROPHONE_INDIVIDUAL,,,,856163,,,,,,,
SWFSC,HYDROPHONE-856164,HYDROPHONE_INDIVIDUAL,,,,856164,,,,,,,
SWFSC,HYDROPHONE-856165,HYDROPHONE_INDIVIDUAL,,,,856165,,,,,,,
SWFSC,SM2BAT-1,RECORDING_DEVICE,Wildlife Acoustics,SM2BAT,,1,Collaborator SM2BAT,,,,,,
SWFSC,SM2BAT-2,RECORDING_DEVICE,Wildlife Acoustics,SM2BAT,,2,Collaborator SM2BAT,,,,,,
SWFSC,SM2BAT-3,RECORDING_DEVICE,Wildlife Acoustics,SM2BAT,,3,Collaborator SM2BAT,,,,,,
SWFSC,SM2BAT-4,RECORDING_DEVICE,Wildlife Acoustics,SM2BAT,,4,Collaborator SM2BAT,,,,,,
SWFSC,SM3M-1,RECORDING_DEVICE,Wildlife Acoustics,SM3M,,1,Collaborator SM3M,,,,,,
SWFSC,SM3M-2,RECORDING_DEVICE,Wildlife Acoustics,SM3M,,2,Collaborator SM3M,,,,,,
SWFSC,SM3M-3,RECORDING_DEVICE,Wildlife Acoustics,SM3M,,3,Collaborator SM3M,,,,,,
SWFSC,SM3M-4,RECORDING_DEVICE,Wildlife Acoustics,SM3M,,4,Collaborator SM3M,,,,,,
SWFSC,SOUNDTRAP-300-3689,RECORDING_DEVICE,Ocean Instruments,,300,3689,Collaborator SoundTrap300,,,,,,
SWFSC,SOUNDTRAP-300-9174,RECORDING_DEVICE,Ocean Instruments,,300,9174,Collaborator SoundTrap300,,,,,,
SWFSC,SOUNDTRAP-4300-1208786975,RECORDING_DEVICE,Ocean Instruments,HF,4300,1208786975,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1208791071,RECORDING_DEVICE,Ocean Instruments,HF,4300,1208791071,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-129,RECORDING_DEVICE,Ocean Instruments,,4300,129,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1436,RECORDING_DEVICE,Ocean Instruments,HF,4300,1436,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1543770129,RECORDING_DEVICE,Ocean Instruments,HF,4300,1543770129,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1544081436,RECORDING_DEVICE,Ocean Instruments,HF,4300,1544081436,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1677738025,RECORDING_DEVICE,Ocean Instruments,HF,4300,1677738025,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-1678016538,RECORDING_DEVICE,Ocean Instruments,HF,4300,1678016538,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-2438,RECORDING_DEVICE,Ocean Instruments,HF,4300,2438,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-2634,RECORDING_DEVICE,Ocean Instruments,HF,4300,2634,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-4581,RECORDING_DEVICE,Ocean Instruments,HF,4300,4581,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5296,RECORDING_DEVICE,Ocean Instruments,HF,4300,5296,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5318,RECORDING_DEVICE,Ocean Instruments,HF,4300,5318,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5984,RECORDING_DEVICE,Ocean Instruments,HF,4300,5984,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5986,RECORDING_DEVICE,Ocean Instruments,HF,4300,5986,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5987,RECORDING_DEVICE,Ocean Instruments,HF,4300,5987,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5989,RECORDING_DEVICE,Ocean Instruments,HF,4300,5989,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5990,RECORDING_DEVICE,Ocean Instruments,HF,4300,5990,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5991,RECORDING_DEVICE,Ocean Instruments,HF,4300,5991,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5992,RECORDING_DEVICE,Ocean Instruments,HF,4300,5992,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-5994,RECORDING_DEVICE,Ocean Instruments,HF,4300,5994,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-6538,RECORDING_DEVICE,Ocean Instruments,HF,4300,6538,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-773,RECORDING_DEVICE,Ocean Instruments,HF,4300,773,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-774,RECORDING_DEVICE,Ocean Instruments,HF,4300,774,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-8025,RECORDING_DEVICE,Ocean Instruments,HF,4300,8025,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-8505,RECORDING_DEVICE,Ocean Instruments,HF,4300,8505,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-4300-8677,RECORDING_DEVICE,Ocean Instruments,HF,4300,8677,Collaborator SoundTrap4300,,,,,,
SWFSC,SOUNDTRAP-640-6655,RECORDING_DEVICE,Ocean Instruments,,640,6655,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6663,RECORDING_DEVICE,Ocean Instruments,,640,6663,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6664,RECORDING_DEVICE,Ocean Instruments,,640,6664,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6665,RECORDING_DEVICE,Ocean Instruments,,640,6665,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6666,RECORDING_DEVICE,Ocean Instruments,,640,6666,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6667,RECORDING_DEVICE,Ocean Instruments,,640,6667,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6668,RECORDING_DEVICE,Ocean Instruments,,640,6668,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6670,RECORDING_DEVICE,Ocean Instruments,,640,6670,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6671,RECORDING_DEVICE,Ocean Instruments,,640,6671,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6672,RECORDING_DEVICE,Ocean Instruments,,640,6672,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-6673,RECORDING_DEVICE,Ocean Instruments,,640,6673,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7517,RECORDING_DEVICE,Ocean Instruments,,640,7517,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7519,RECORDING_DEVICE,Ocean Instruments,,640,7519,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7521,RECORDING_DEVICE,Ocean Instruments,,640,7521,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7930,RECORDING_DEVICE,Ocean Instruments,,640,7930,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7932,RECORDING_DEVICE,Ocean Instruments,,640,7932,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7934,RECORDING_DEVICE,Ocean Instruments,,640,7934,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7939,RECORDING_DEVICE,Ocean Instruments,,640,7939,Collaborator SoundTrap640,,,,,,
SWFSC,SOUNDTRAP-640-7951,RECORDING_DEVICE,Ocean Instruments,,640,7951,Collaborator SoundTrap640,,,,,,
