organization_code,deployment_code,recording_code,recording_device_codes,recording_start_datetime,recording_end_datetime,recording_duration_secs,recording_interval_secs,recording_sample_rate_khz,recording_bit_depth,recording_channel,recording_n_channels,recording_filetypes,recording_timezone,recording_usable_start_datetime,recording_usable_end_datetime,recording_usable_min_frequency_khz,recording_usable_max_frequency_khz,recording_quality_code,recording_device_lost,recording_device_depth_m,recording_redacted,recording_json,recording_uri,recording_comments
SWFSC,SWFSC_NEPac_20240817_CalCurCEAS_001,SoundTrap_Recordings,"SoundTrap_7951,HTI_856135,HTI_856147",2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-17T19:00:00Z,2024-08-25T13:02:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_001,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_002,SoundTrap_Recordings,"SoundTrap_6663,HTI_856164,HTI_856175",2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T13:36:00Z,2024-08-30T02:00:00Z,0.5,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_002,
SWFSC,SWFSC_NEPac_20240820_CalCurCEAS_003,SoundTrap_Recordings,"SoundTrap_7517,HTI_856154,HTI_856170",2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-20T20:40:00Z,2024-08-30T05:00:00Z,0.1,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_003,
SWFSC,SWFSC_NEPac_20240821_CalCurCEAS_004,SoundTrap_Recordings,"SoundTrap_7581,HTI_856141,HTI_856144",2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-21T04:02:00Z,2024-08-28T02:58:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_004,
SWFSC,SWFSC_NEPac_20240823_CalCurCEAS_006,SoundTrap_Recordings,"SoundTrap_7936,HTI_856139,HTI_856148",2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,360,360,384,16,1,2,WAV,UTC,2024-08-23T00:49:59Z,2024-08-30T15:28:00Z,0.05,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_006,
SWFSC,SWFSC_NEPac_20240913_CalCurCEAS_008,SoundTrap_Recordings,"SoundTrap_7936,HTI_856136,HTI_856145",2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-13T22:12:00Z,2024-09-21T00:46:00Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_008,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_009,SoundTrap_Recordings,"SoundTrap_7517,HTI_856138,HTI_856151",2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T14:06:00Z,2024-09-23T21:22:00Z,0.115,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_009,
SWFSC,SWFSC_NEPac_20240914_CalCurCEAS_010,SoundTrap_Recordings,"SoundTrap_6663,HTI_856159,HTI_856177",2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,360,360,384,16,1,2,WAV,UTC,2024-09-14T21:23:00Z,2024-09-24T01:24:29Z,0.35,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_010,
SWFSC,SWFSC_NEPac_20240915_CalCurCEAS_011,SoundTrap_Recordings,"SoundTrap_7518,HTI_856156,HTI_856167",2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,360,360,384,16,1,2,WAV,UTC,2024-09-15T17:00:00Z,2024-09-22T14:55:00Z,0.06,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_011,
SWFSC,SWFSC_NEPac_20241001_CalCurCEAS_012,SoundTrap_Recordings,"SoundTrap_7930,HTI_856135,HTI_856147",2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-01T23:16:00Z,2024-10-05T03:02:00Z,0.3,192,COMPROMISED,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_012,
SWFSC,SWFSC_NEPac_20241002_CalCurCEAS_013,SoundTrap_Recordings,"SoundTrap_7518,HTI_856163,HTI_856171",2024-10-02T01:10:42Z,2024-10-04T03:49:59Z,360,360,384,16,1,2,WAV,UTC,2024-10-02T01:10:42Z,2024-10-04T03:49:59Z,0.1,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_013,
SWFSC,SWFSC_NEPac_20241002_CalCurCEAS_014,SoundTrap_Recordings,"SoundTrap_7519,HTI_856161,HTI_856176",2024-10-02T01:53:00Z,2024-10-05T02:06:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-02T01:53:00Z,2024-10-05T02:06:00Z,0.02,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_014,
SWFSC,SWFSC_NEPac_20241005_CalCurCEAS_015,SoundTrap_Recordings,"SoundTrap_6663,HTI_856136,HTI_856145",2024-10-05T14:30:00Z,2024-10-11T14:32:59Z,360,360,384,16,1,2,WAV,UTC,2024-10-05T14:30:00Z,2024-10-11T14:32:59Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_015,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_016,SoundTrap_Recordings,"SoundTrap_7936,HTI_856135,HTI_856147",2024-10-06T02:00:07Z,2024-10-13T15:54:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T02:00:07Z,2024-10-13T15:54:00Z,0.035,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_016,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_017,SoundTrap_Recordings,"SoundTrap_7518,HTI_856159,HTI_856177",2024-10-06T14:45:00Z,2024-10-12T13:53:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T14:45:00Z,2024-10-12T13:53:00Z,0.125,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_017,
SWFSC,SWFSC_NEPac_20241006_CalCurCEAS_018,SoundTrap_Recordings,"SoundTrap_7930,HTI_856138,HTI_856151",2024-10-06T23:54:02Z,2024-10-11T21:40:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-06T23:54:02Z,2024-10-11T21:40:00Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_018,
SWFSC,SWFSC_NEPac_20241009_CalCurCEAS_019,SoundTrap_Recordings,"SoundTrap_8595,HTI_856155,HTI_856166",2024-10-09T04:56:00Z,2024-10-15T21:30:00Z,360,360,384,16,1,2,WAV,UTC,2024-10-09T04:56:00Z,2024-10-15T21:30:00Z,0.1,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_019,
SWFSC,SWFSC_NEPac_20241026_CalCurCEAS_020,SoundTrap_Recordings,"SoundTrap_7936,HTI_856163,HTI_856171",2024-10-26T14:48:01Z,2024-11-09T09:35:16Z,360,360,384,16,1,2,WAV,UTC,2024-10-26T14:48:01Z,2024-11-09T09:35:16Z,0.02,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_020,
SWFSC,SWFSC_NEPac_20241027_CalCurCEAS_021,SoundTrap_Recordings,"SoundTrap_8595,HTI_856141,HTI_856144",2024-10-27T01:06:01Z,2024-11-07T14:56:23Z,360,360,384,16,1,2,WAV,UTC,2024-10-27T01:06:01Z,2024-11-07T14:56:23Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_021,
SWFSC,SWFSC_NEPac_20241027_CalCurCEAS_022,SoundTrap_Recordings,"SoundTrap_7521,HTI_856138,HTI_856151",2024-10-27T14:06:00Z,2024-11-09T07:40:32Z,360,360,384,16,1,2,WAV,UTC,2024-10-27T14:06:00Z,2024-11-09T07:40:32Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_022,
SWFSC,SWFSC_NEPac_20241028_CalCurCEAS_023,SoundTrap_Recordings,"SoundTrap_7518,HTI_856156,HTI_856167",2024-10-28T00:00:00Z,2024-11-11T06:27:54Z,360,360,384,16,1,2,WAV,UTC,2024-10-28T00:00:00Z,2024-11-11T06:27:54Z,0.02,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_023,
SWFSC,SWFSC_NEPac_20241111_CalCurCEAS_024,SoundTrap_Recordings,"SoundTrap_8595,HTI_856141,HTI_856144",2024-11-11T02:00:00Z,2024-11-24T15:16:00Z,360,360,384,16,1,2,WAV,UTC,2024-11-11T02:00:00Z,2024-11-24T15:16:00Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_024,
SWFSC,SWFSC_NEPac_20241120_CalCurCEAS_025,SoundTrap_Recordings,"SoundTrap_7517,HTI_856163,HTI_856171",2024-11-20T16:42:01Z,2024-12-03T17:15:22Z,360,360,384,16,1,2,WAV,UTC,2024-11-20T16:42:01Z,2024-12-03T17:15:22Z,0.015,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_025,
SWFSC,SWFSC_NEPac_20241122_CalCurCEAS_026,SoundTrap_Recordings,"SoundTrap_7939,HTI_856138,HTI_856151",2024-11-22T14:36:02Z,2024-12-02T23:09:46Z,360,360,384,16,1,2,WAV,UTC,2024-11-22T14:36:02Z,2024-12-02T23:09:46Z,0,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_026,
SWFSC,SWFSC_NEPac_20241123_CalCurCEAS_027,SoundTrap_Recordings,"SoundTrap_7950,HTI_856139,HTI_856148",2024-11-23T16:00:02Z,2024-12-03T06:17:03Z,360,360,384,16,1,2,WAV,UTC,2024-11-23T16:00:02Z,2024-12-03T06:17:03Z,0.1,192,GOOD,,100,,,gs:/swfsc-1/2024_CalCurCEAS/drifting_recorder/audio_wav/CalCurCEAS_027,
